LANDUSE_TYPE,USER,PIPE DIAM,VENDOR,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12
H3,MI,0.5,NAN,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,10,10,10,10,10,10,10,10,10
H3,HI,0.5,CICASA MMD-15 S,15,15,17,12,15,7,21,18,17,17,17,10,21,19,16,18,17,3,15,14,13,12,12,11,12,12,11,11,11,11,11,11,10,10,10,10,10,10,9,9,9,9,0,15,15,15,15,15,15,15,15,15,15,15,15,6,11,20,15,11,14,14,11,16,11,8,10,10,9,6,17,8,14,9,12,14,21,22,11,12,9,13,12,15
H3,MI,0.5,NAN,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
H3,MI,0.5,CICASA MMD-15 S,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,49,25,25,26,27,28,29,25,25,26,25,25,24,24,24,24,24,23,23,23,23,22,0,22,203,40,34,44,37,33,26,23,21,28,32,19,12,19,17,24,21,34,21,21,14,21,20,20,30,30,23,0,21,21,20,20,20,21
H3,MI,0.5,CICASA MMD-15 S,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,47,8,8,9,10,14,12,13,13,9,12,14,14,17,17,17,17,19,14,15,12,14,11,13,13,15,9,7,7,6,12,15,16,9,16,14,14,12,14,13,14,16,13,14,18,18,17,13
H3,HI,0.5,NAN,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,24,24,24,24,22,23,22,22,22,21,21,21,21,21,20,20,20,20,19,21,21,21,21,21,21,21,21,21,24
H3,SOCIAL,0.5,Cicasa NG 1/2,20,20,20,20,20,20,20,20,20,20,20,17,14,9,10,15,11,11,12,11,13,12,12,12,14,13,11,14,13,11,14,11,14,12,13,13,10,12,12,14,14,15,11,14,16,12,16,14,15,16,13,16,15,17,13,13,15,12,14,12,14,13,13,13,14,12,12,13,12,10,11,11,12,8,9,11,8,11,16,16,12,11,12,8
H3,MI,0.5,NAN,20,20,20,13,12,13,11,8,14,9,14,14,16,11,13,15,13,10,7,11,11,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,24,23,23,23,23,22,22,22,22,22,21,21,21,21,24,24,24,24,24,24,24,24,24,24,24,24,24,24
H3,MI,0.5,MSDELAUNET,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15,15,15,15,15,15,15,15,15,15,15,15,24,24,24,10,18,17,20,14,20,17,16,30,56,53,40,47,74,48,40,26,25,16,22,24,29,23,26,22,16
H3,HI,0.5,NAN,20,20,20,20,20,20,20,20,20,20,20,20,10,10,10,10,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
H3,MI,0.5,NAN,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,10,10,10,20,20,20,10,10,0,10,10,10,10,10,28,7,12,5,4,9,2,1,10,5,0,1,6,0,11,0,0,2,0,0,0,0,0,10,1,0,13,4,10,6,5,6,5,5,5,5,6,6,6,6,6,6,6,24
H3,MI,0.5,NAN,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,38,21,15,12,17,18,18,24,25,28,27,37,20,30,18,31,29,19,18,27,34,25,25,25,24,0,26,20,19,18,17,15,18,17,17,17,16,16,16,16,15,17,16,16,16,16,16,16,16,16,24
H3,HI,0.5,MSDELAUNET,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,35,25,25,25,24,13,9,13,12,16,13,13,9,31,15,15,15,15,16,17,15,15,15,15,15,15,14,15,14,14,14,14,16,14,23,24,23,23,23,23,22,21,14,0,33,52,23,33,25,25,25,25,24,20,20,20,20,16,16,16,16,16,16
H3,SOCIAL,0.5,MSDELAUNET,12,14,14,13,13,12,12,12,12,12,11,11,11,11,11,11,10,10,10,10,10,9,9,9,9,9,9,9,9,8,8,8,8,8,7,7,16,0,18,16,15,20,18,19,26,15,21,14,15,16,12,20,24,26,24,15,14,19,20,19,0,31,19,18,22,25,23,28,31,22,38,31,49,23,17,24,19,21,25,36,27,23,18,15
H3,SOCIAL,0.5,MSDELAUNET,17,12,14,13,14,11,13,11,12,13,16,10,13,7,10,14,15,19,21,14,15,12,12,12,15,11,14,16,17,16,17,17,19,16,16,14,15,15,15,15,14,14,14,14,14,13,13,13,13,13,13,13,12,13,12,23,24,23,23,23,0,17,13,15,13,18,15,16,18,14,20,13,27,18,16,24,19,22,23,23,24,32,23,17
H3,SOCIAL,0.5,CICASA MMD-15 S,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,9,12,19,13,10,10,12,11,15,15,16,13,14,13,11,11,6,11,8,8,11,12,30,27,32,28,22,13,8
H3,HI,0.5,MSDELAUNET,4,4,5,5,5,4,5,5,5,5,5,5,12,5,6,7,7,9,10,7,5,4,1,5,3,14,16,15,8,5,13,14,13,9,12,5,8,8,7,8,12,15,12,9,9,8,7,6,8,7,7,14,12,17,9,5,12,12,10,6,5,12,11,17,13,30,15,17,16,23,22,13,24,13,24,33,34,28,16,17,12,13,14,12
H3,HI,0.5,NAN,17,16,16,15,14,14,15,14,14,14,13,13,13,12,13,13,12,12,12,18,13,12,13,13,13,13,12,12,12,12,12,12,11,11,11,11,10,10,10,10,10,10,9,9,9,9,9,8,8,8,8,8,8,8,7,23,24,23,23,23,23,22,21,22,21,21,20,20,20,20,20,19,19,18,20,20,20,20,20,20,20,20,20,24
H3,HI,0.5,NAN,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
H3,MI,0.5,NAN,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,30,20,21,16,21,21,31,25,13,29,10,19,17,14,15,24,5,15,14,14,14,13,12,13,13,13,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24
H3,MI,0.5,CICASA MMD-15 S,17,17,17,17,17,17,17,17,17,17,17,18,13,10,10,13,11,14,18,12,8,8,10,5,34,16,11,9,14,14,16,13,12,12,12,12,0,9,4,9,10,11,14,8,7,6,9,9,10,8,6,12,8,13,8,13,13,13,10,7,15,0,10,14,7,8,8,7,9,8,7,7,7,7,8,8,8,8,0,10,10,12,9,7
H3,MI,0.5,NAN,15,15,15,5,7,7,9,8,7,8,5,8,9,6,6,8,9,4,10,7,15,7,4,8,12,10,8,8,8,8,8,8,7,7,7,7,7,7,6,6,6,6,6,6,5,5,5,5,5,0,3,3,3,5,7,10,9,5,6,6,7,10,3,3,2,3,1,3,0,0,3,0,0,0,1,11,2,6,2,2,2,3,3,24
H3,HI,0.5,NAN,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
H3,MI,0.5,CICASA MMD-15 S,6,4,7,4,4,13,5,5,18,8,26,14,13,13,15,15,15,14,14,14,14,13,14,13,13,13,13,13,13,12,12,12,12,11,11,11,0,10,12,13,13,19,11,13,11,10,14,10,11,10,8,12,11,11,11,12,11,10,12,21,23,13,13,13,14,18,16,16,17,12,19,21,16,44,33,43,43,58,44,21,22,20,21,17
H3,MI,0.5,CICASA MMD-15 S,17,17,23,23,22,17,25,18,20,15,14,9,10,13,14,21,12,16,12,24,19,13,20,16,18,18,17,17,17,17,17,17,16,16,16,16,0,21,21,21,22,24,35,17,15,25,20,15,12,17,13,18,18,18,18,17,19,14,16,15,19,18,16,21,16,21,24,23,19,14,16,13,13,10,14,17,15,18,20,20,20,29,32,20
H3,SOCIAL,0.5,Cicasa NG 1/2,20,20,20,20,20,20,20,20,20,20,20,62,39,6,10,18,19,13,11,13,9,7,8,7,10,8,6,7,10,10,14,14,16,17,10,6,8,9,10,11,12,16,14,10,7,11,11,11,0,0,0,0,0,0,0,4,4,4,4,4,3,10,0,0,0,0,2,0,1,10,10,10,10,6,4,1,5,5,5,6,6,6,6,6
H3,HI,0.5,NAN,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,24,24,24,5,13,15,19,17,22,16,19,15,25,19,18,18,18,18,18,19,19,19,19,19,19,19,19,19,24
H3,HI,0.5,MSDELAUNET,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,24,24,24,2,24,24,24,0,15,15,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,18,20,20
H3,HI,0.5,MSDELAUNET,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,24,24,24,24,24,10,10,10,24,13,16,8,16,7,2,4,6,8,5,4,7,6,9,10,9,3,1,1,2
H3,MI,0.5,NAN,30,30,30,20,20,20,24,24,23,23,21,22,22,21,21,21,18,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,34,20,20,20,20,20,20,20,20,0,16,15,14,20,13,20,20,20,18,18,18,18,20,18,18,18,18,18,17,16,17,16,0,9,12,11,10,9,8,9,9,11,10,10,9,10,10,10,10,10,24
H3,MI,0.5,NAN,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,10,10,10,10,10,10
H3,LI,0.5,CICASA MMD-15 S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2,2,3,3,4,4,2,3,3,3,3,2,2,2,2,2,10,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H3,MI,0.5,NAN,15,15,15,1,3,3,2,4,4,2,2,2,2,2,2,2,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,10,16,17,11,3,22,23,25,23,21,30,23,24,26,25,20,18,50,17,34,17,17,16,18,14,19,18,18,48,22,23,23,25,25,27,23,24,25,25,26,26,25,25,25,25,24
H3,MI,0.5,NAN,15,15,15,14,14,14,14,13,13,13,13,13,13,12,12,12,12,12,12,12,11,11,11,11,11,11,10,11,10,10,10,10,10,9,9,9,9,9,8,8,8,8,8,8,7,7,7,7,7,7,6,6,6,6,10,23,24,23,23,23,23,22,21,22,21,21,20,20,20,20,20,19,19,18,20,20,20,20,20,20,20,20,20,24
H3,SOCIAL,0.5,MSDELAUNET,3,3,3,3,3,2,2,2,2,2,2,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,15,15,15,15,15,15,15,15,15,15,24,24,24,24,24,24,24,24,24,13,12,24,14,18,16,13,17,17,16,16,6,19,15,6,11,12,14,14,16
H3,MI,0.5,NAN,24,18,19,25,22,18,21,21,19,20,19,19,19,18,18,0,15,15,14,13,12,11,13,12,12,12,11,12,12,11,11,11,11,10,10,10,10,10,9,9,9,9,9,9,8,8,8,8,8,8,7,8,7,7,7,23,24,23,23,23,23,22,21,22,21,21,20,20,20,20,20,19,19,18,20,20,20,20,20,20,20,20,20,24
H3,LI,0.5,NAN,20,16,18,19,16,11,16,19,18,17,22,17,19,12,18,19,18,19,22,18,27,19,22,18,22,18,22,15,0,0,0,0,19,11,10,9,8,7,6,8,7,7,7,6,6,6,6,6,6,5,5,5,5,5,5,23,24,23,23,23,23,22,22,22,22,22,21,21,21,21,24,24,24,24,24,24,24,24,24,24,24,24,24,24
H3,MI,0.5,MSDELAUNET,20,20,20,0,16,20,0,12,11,0,0,3,20,0,9,5,8,6,6,16,14,11,10,11,16,11,12,12,12,20,13,16,14,13,32,12,15,16,11,22,18,15,15,30,23,28,1,8,17,17,15,14,11,13,14,13,13,12,12,12,0,24,19,15,14,19,16,22,27,17,25,17,20,19,27,25,22,25,20,21,20,20,22,22
H3,MI,0.5,NAN,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
H3,MI,0.5,CICASA MMD-15 S,14,14,14,1,3,3,0,10,5,0,0,0,15,0,3,6,3,4,5,15,5,6,6,6,7,7,6,6,6,6,6,6,5,5,5,5,0,11,4,17,8,7,11,9,10,8,7,6,4,9,5,10,13,14,13,10,12,12,14,5,6,7,6,6,4,8,7,9,11,6,10,8,3,7,5,12,11,11,13,17,10,11,21,11
H3,MI,0.5,NAN,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
H3,HI,0.5,NAN,20,20,20,21,20,19,19,20,20,19,19,16,16,15,14,14,13,14,14,14,13,13,13,13,13,13,12,13,12,12,12,12,12,11,11,11,11,11,10,10,10,10,10,10,9,9,9,9,9,0,1,2,4,4,4,2,2,5,1,1,1,0,2,4,6,7,4,3,4,4,4,4,3,3,4,4,4,4,4,4,4,4,4,24
H3,MI,0.5,NAN,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,30,11,16,16,16,17,17,15,15,15,15,15,15,14,14,14,14,0,15,15,15,15,15,15,15,15,15,15,15,15,11,21,17,17,15,16,15,16,15,15,14,14,14,14,13,14,13,13,12,14,14,14,14,14,14,14,14,14,24
H3,MI,0.5,MSDELAUNET,10,10,10,10,10,10,18,18,18,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,6,6,5,5,0,11,14,2,5,5,6,6,6,4,5,5,5,0,15,15,15,15,15,15,15,15,15,15,15,15,24,24,24,19,0,1,2,1,3,2,0,8,14,17,11,9,4,2,4,7,5,4,7,4,7,7,5,5,5
H3,MI,0.5,CICASA MMD-15 S,18,18,18,17,17,17,17,16,16,16,16,16,15,15,15,15,15,15,15,15,14,14,14,14,14,13,13,13,13,13,13,12,12,12,12,12,0,26,19,21,25,32,45,43,32,19,20,18,20,21,16,21,21,30,30,32,30,23,26,25,25,28,21,33,25,31,35,32,30,16,33,21,32,26,33,73,77,65,53,27,41,44,44,45
H3,HI,0.5,CICASA MMD-15 S,15,15,15,9,11,10,12,15,12,11,11,11,13,8,9,12,10,10,10,15,10,10,10,10,10,10,9,10,9,9,9,9,9,8,8,8,8,8,7,7,7,7,7,7,6,6,6,6,10,0,9,13,4,7,6,0,0,0,2,4,2,1,0,0,0,0,0,20,3,3,4,20,4,4,3,4,4,4,5,5,4,4,4,4
H3,HI,0.5,CICASA MMD-15 S,20,20,20,17,51,33,16,19,18,20,19,14,21,14,17,18,15,18,26,24,22,17,21,19,22,20,20,24,27,24,21,19,22,21,21,20,0,26,23,28,24,24,26,31,37,27,36,30,29,33,33,32,29,30,26,25,26,24,37,35,32,35,29,27,33,33,27,23,31,25,25,17,21,18,21,22,20,24,25,27,25,24,24,16
H3,SOCIAL,0.5,CICASA MMD-15 S,4,5,0,10,6,4,6,6,6,4,5,5,6,6,7,9,10,12,9,8,6,4,5,7,7,6,5,7,9,13,16,14,15,16,16,14,14,14,14,14,14,13,13,13,13,13,13,0,16,16,12,17,12,23,17,15,18,13,19,14,17,22,23,12,18,22,17,12,15,12,20,17,22,23,6,16,13,15,13,18,19,16,28,17
H3,HI,0.5,NAN,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,13,38,19,21,18,21,26,23,25,25,27,25,44,42,25,35,25,29,30,30,30,31,31,31,32,31,30,30,24
H3,MI,0.5,NAN,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,4,2,7,10,15,11,10,13,12,13,13,17,14,8,6,12,23,17,11,9,12,10,19,31,30,18,19,21,22,23,24,23,23,23,23,22,21,22,21,21,20,20,20,20,20,19,19,18,20,20,20,20,20,20,20,20,20,24
H3,HI,0.5,NAN,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,4,16,15,15,11,17,20,18,23,25,30,28,32,24,14,9,6,18,16,0,18,18,18,16,14,13,13,13,24
H3,MI,0.5,NAN,14,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,15,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,10,10,20,20,20,20,20,20,20,20,20,20,20,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
H3,SOCIAL,0.5,AZTECA,0,1,1,1,1,3,7,6,5,2,3,1,2,1,1,1,1,1,1,2,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,22,22,0,22,22,22,22,22,22
H3,MI,0.5,CICASA MMD-15 S,11,9,8,6,7,8,8,7,7,7,7,7,7,6,6,6,6,6,6,6,5,5,5,5,5,5,4,4,4,4,4,4,3,3,3,3,0,6,15,11,8,13,10,12,12,10,13,12,12,11,9,12,11,11,12,9,8,9,11,9,11,12,12,15,25,26,11,13,18,9,15,10,14,11,13,13,15,13,13,17,11,14,9,10
H3,MI,0.5,NAN,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,25,25,25,24,24,23,24,23,23,23,23,22,22,22,22,22,21,21,21,21,21,20,21,21,21,10,18,18,17,16,16,15,16,16,16,16,15,22,22,22,22,22,22,22,22,22,22,22,22,22,22
H3,MI,0.5,MSDELAUNET,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,29,12,12,15,13,15,10,16,15,15,14,11,10,12,11,13,13,6,13,18,14,12,7,6,6,6,8,7,6,6,23,24,23,23,23,0,18,17,7,2,5,5,35,24,9,17,5,2,1,1,3,1,6,3,8,8,9,7,4
H3,MI,0.5,NAN,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
H3,HI,0.5,MSDELAUNET,10,30,30,30,30,30,30,30,30,30,30,30,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,24,24,24,24,15,9,5,3,9,6,0,3,1,0,1,2,1,2,5,7,5,11,22,6,5,2,2,51,10
H3,MI,0.5,NAN,20,20,20,21,20,36,53,37,26,18,14,13,20,11,15,20,18,18,9,10,10,0,0,15,9,8,7,6,5,4,6,5,5,4,4,4,4,4,4,3,3,3,3,3,3,2,2,2,2,0,8,0,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24
H3,MI,0.5,NAN,4,4,4,4,4,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,15,15,15,15,15,15,15,15,15,15,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
H3,MI,0.5,BADGERMETER,16,12,11,11,16,20,13,11,17,11,11,10,14,8,9,10,10,9,8,9,9,8,21,14,17,11,12,15,16,16,13,21,20,17,14,18,10,19,15,11,16,16,11,23,23,17,25,16,20,23,21,16,19,20,19,19,29,20,28,21,25,26,21,20,21,23,12,11,13,34,60,24,28,21,25,21,24,25,33,25,24,23,27,16
H3,MI,0.5,Cicasa NG 1/2,10,10,10,10,10,10,10,10,7,12,11,15,15,9,11,12,11,12,13,13,11,11,13,13,11,12,14,15,13,13,12,11,14,13,12,12,10,11,11,11,15,12,12,18,15,7,16,12,13,15,14,10,15,15,14,16,15,14,19,10,13,12,11,12,15,19,15,13,13,12,16,9,12,11,11,14,12,12,11,14,14,12,14,9
H3,MI,0.5,NAN,45,47,43,42,42,42,42,41,41,41,40,40,40,38,39,40,38,39,38,39,38,37,38,37,37,37,37,38,37,36,36,36,36,35,34,34,34,34,10,29,28,27,26,25,23,25,25,24,25,24,24,25,24,24,23,23,24,23,23,22,23,22,21,21,22,0,31,32,33,26,24,23,27,26,24,24,24,25,27,26,26,25,25,24
H3,HI,0.5,Delaunet MD-100,23,11,8,9,40,15,10,10,21,11,7,4,8,5,13,13,8,14,12,11,9,13,26,20,9,9,11,9,12,21,41,9,10,10,6,6,7,9,7,8,9,10,10,7,9,7,9,10,9,9,8,8,7,17,9,9,10,7,7,7,9,12,7,9,7,9,9,9,10,6,10,9,10,14,9,11,11,11,9,12,12,12,11,7
H3,MI,0.5,NAN,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,20,20,10,10,10,0,0,0,2,7,20,32,20,34,10,14,13,17,20,0,3,3,1,3,1,2,20,20,20,20,22,22,20,22,22,22,18,16,16,10,16,16,16,16,20,22,22,22,22,22,22,22,22,22,22,22,22,22,22
H3,MI,0.5,CICASA MMD-15 S,16,16,14,14,14,14,14,13,13,13,13,13,13,12,12,12,12,12,12,12,11,11,11,11,11,11,10,11,10,10,10,10,10,9,9,9,0,13,16,16,11,9,44,34,50,38,18,9,12,8,12,15,12,20,17,21,11,14,16,16,14,16,13,18,19,18,21,20,18,0,16,16,14,13,16,0,14,14,14,13,12,13,13,13
H3,MI,0.5,NAN,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
H3,MI,0.5,CICASA MMD-15 S,3,3,4,4,4,3,3,3,3,3,3,2,2,2,2,2,2,2,1,10,3,3,3,3,3,4,3,3,3,3,3,3,2,2,2,2,2,2,1,1,1,1,0,15,15,15,15,15,15,15,15,15,15,15,15,12,15,16,10,13,17,13,13,28,13,13,21,18,13,8,16,9,12,12,9,13,11,17,28,27,12,11,12,7
H3,HI,0.5,NAN,10,10,10,10,9,9,9,9,9,9,8,8,8,8,8,8,7,7,7,7,7,6,6,6,6,6,6,6,6,5,5,5,5,5,4,4,4,4,4,4,3,3,3,3,3,3,3,2,2,2,2,2,2,2,1,23,24,23,23,23,23,22,22,22,21,21,21,21,21,20,20,20,20,19,21,21,21,21,21,21,21,21,21,24
H3,HI,0.5,Cicasa NG 1/2,6,5,5,4,4,5,5,5,5,2,15,9,5,6,12,10,23,17,13,9,29,21,28,37,29,14,5,6,6,6,8,8,9,8,9,7,7,8,25,11,11,14,10,12,9,7,9,10,34,39,15,0,11,16,15,15,19,13,14,14,13,16,15,15,21,21,16,15,16,19,16,48,17,10,12,13,13,15,14,13,11,12,6,20
H3,MI,0.5,NAN,22,19,16,17,16,12,15,15,26,25,55,31,27,28,31,33,33,30,30,31,30,30,30,29,29,29,0,10,15,11,13,12,14,12,20,22,17,12,15,14,14,17,17,23,19,18,22,15,7,17,0,13,12,10,9,21,21,21,21,20,20,20,19,19,19,19,19,19,19,19,22,22,22,22,22,22,22,22,22,22,22,22,22,22
H3,MI,0.5,NAN,3,0,0,0,0,0,2,5,6,3,7,7,4,19,8,11,12,29,19,16,15,17,18,20,12,12,14,14,22,15,14,15,15,15,15,14,0,29,26,10,1,13,0,13,0,0,11,9,14,15,9,8,9,14,15,12,9,11,2,0,0,1,0,0,0,1,6,0,0,1,3,4,2,1,2,2,2,2,2,2,2,2,2,24
